title;bookID;author;rating;ratingsCount;reviewsCount;reviewerName;reviewerRating
"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation";9;W. Frederick Zimmerman;0,175694444;22;1;Sageri;2
Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5);8;J.K. Rowling;0,220138889;34107;156;Danit;3
Harry Potter and the Sorcerer's Stone;3;J.K. Rowling;04.44;4911929;77741;Sageri;3
Harry Potter and the Half-Blood Prince (Harry Potter, #6);1;J.K. Rowling;04.54;1810404;28053;Cahyono;5
Harry Potter and the Order of the Phoenix (Harry Potter, #5);2;J.K. Rowling;04.47;1862749;29308;Teddy;3
Harry Potter and the Chamber of Secrets (Harry Potter, #2);4;J.K. Rowling;04.38;1936698;35055;Elsa;1
The Harry Potter Collection (Harry Potter, #1-6);7;J.K. Rowling;0,217361111;26702;909;Cahyono;3
Harry Potter and the Prisoner of Azkaban (Harry Potter, #3);5;J.K. Rowling;04.53;2000827;37005;Choddy;2
Charlie Oink (Easy Peasy People);8053;Roger Hargreaves;04.33;3;0;Rifki;3
Harry Potter and the Goblet of Fire (Harry Potter, #4);6;J.K. Rowling;04.53;1897821;31817;Abdul Aziz;2
My Country Right or Left: 1940-1943 (The Collected Essays, Journalism & Letters, Vol. 2);9643;George Orwell;04.03;445;24;Abdul Aziz;2
Why I Write;9644;George Orwell;04.04;5428;479;Umar Jamil;4
Bella Tuscany & Under the Tuscan Sun (2 Book Set);7209;Frances Mayes;0,18125;429;21;Randi;5
Selected Poems of Herman Melville;3732;Herman Melville;03.09;40;4;Randi;2
The Senator and the Socialite: The True Story of America's First Black Dynasty;3404;Lawrence Otis Graham;0,188888889;154;34;Dirga;5
Great Short Works of Herman Melville;3731;Herman Melville;04.05;463;19;Witsqadianto;5
Vance Packard & American Social Criticism;3729;Daniel Horowitz;3;1;0;Witsqadianto;4
Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality;7214;Donald Miller;0,188888889;83897;3598;Danit;3
Redburn, White-Jacket, Moby-Dick;3733;Herman Melville;04.18;942;68;Danit;5
The Hidden Persuaders;3730;Vance Packard;0,188194444;763;58;Danit;2
Moon Metro Paris;7063;Avalon Travel;03.33;3;0;Danit;5
Morality For Beautiful Girls (No. 1 Ladies' Detective Agency);7056;Alexander McCall Smith;0,192361111;32747;1544;Riyan;3
Morality for Beautiful Girls (No. 1 Ladies' Detective Agency, #3);7059;Alexander McCall Smith;0,192361111;32747;1544;Elsa;4
My Days Are Swifter Than A Weaver's Shuttle: [Richard Ryley's Diary, 1862;5669;Richard Ryley;0;0;0;Riyan;5
The No. 1 Ladies' Detective Agency  (No. 1 Ladies' Detective Agency, #1);7061;Alexander McCall Smith;0,177083333;191137;9471;Riyan;1
The Good Husband of Zebra Drive (No. 1 Ladies' Detective Agency, #8);7058;Alexander McCall Smith;04.06;20396;1082;Riyan;1
Paris to the Moon;7062;Adam Gopnik;0,177777778;11702;962;Sageri;5
In the Company of Cheerful Ladies (No. 1 Ladies' Detective Agency, #6);7057;Alexander McCall Smith;04.07;22518;1008;Sageri;4
The Belly of Paris (Les Rougon-Macquart, #3);7064;Émile Zola;03.09;3016;243;Danit;2
Underneath a Harlem Moon: The Harlem to Paris Years of Adelaide Hall;7065;Iain Cameron Williams;0,213194444;3;0;Sageri;4
sliding home;514;Ray Holan;5;1;1;Cahyono;4
Sliding for Home;513;Frank Moher;1;1;1;Teddy;2
Harry Potter Collection (Harry Potter, #1-6);10;J.K. Rowling;0,217361111;26702;909;Elsa;2
Walt Disney's Uncle Scrooge: Hawaiian Hideaway (Gladstone Comic Album Series No. 11);5313;Carl Barks;4;16;0;Cahyono;1
The Last Christmas of Ebenezer Scrooge;5314;Marvin Kaye;4;14;2;Choddy;3
How to Cook Everything: Holiday Cooking;2606;Mark Bittman;03.53;15;0;Rifki;5
How to Cook Everything: Easy Weekend Cooking;2605;Mark Bittman;03.59;17;1;Abdul Aziz;3
Walt Disney's Uncle Scrooge & Donald Duck: The Sunken City (Gladstone Giant Comic Album Series, #2);5312;Carl Barks;04.41;39;1;Abdul Aziz;4
Programming Ruby: The Pragmatic Programmers' Guide;515;Dave Thomas;04.06;1713;73;Umar Jamil;2
The Financial Wisdom of Ebenezer Scrooge: Transforming Your Relationship with Money;5311;Ted Klontz;03.53;60;10;Randi;2
Aleph Isn't Tough: An Introduction to Hebrew for Adults (Book 1);5785;Linda Motzkin;04.31;74;4;Randi;5
The Compact Rock Guitar Chord Reference;741;Len Vogler;0;0;0;Dirga;5
Jazz Guitar Chord Melodies;742;Towey Dan;3;1;0;Witsqadianto;4
The Davinci Cult;6377;Peter C. Spencer;0,177083333;4;0;Witsqadianto;5
The Advanced Guitar Case Chord Book: Compact Reference Library;744;Askold Buk;03.33;3;0;Danit;1
The Guitar Three-Chord Songbook: Play 50 Rock Hits with Only 3 Easy Chords;743;Songbook;03.05;8;0;Danit;1
The Beatles Guitar Chord Songbook: A-I (Guitar Chord Songbooks);740;The Beatles;04.25;8;0;Danit;5
The Mystery of the Aleph: Mathematics, the Kabbalah, and the Search for Infinity;5786;Amir D. Aczel;0,184027778;585;44;Danit;2
Ordinary Work, Extraordinary Grace: My Spiritual Journey in Opus Dei;6376;Scott Hahn;04.28;318;23;Riyan;4
Personal Finance For Dummie$ For Canadians;3608;Eric Tyson;0,177777778;62;8;Elsa;2
The Faking of the Vice-President: A Guide to Becoming a Superfluous Leader;611;Rich Mintzer;0;0;0;Riyan;4
Grand Theft Auto: Vice City Stories Official Strategy Guide;610;Brady Games;04.43;14;0;Riyan;2
On Moral Character: A Practical Guide to Aristotle's Virtues and Vices;613;Jody Palmour;0;0;0;Riyan;4
Decadent health: A survival guide for elegant people with vice;614;Mark David Baer;0;0;0;Sageri;1
Grand Theft Auto: Vice City Official Strategy Guide (Bradygames Signature Guides);608;Tim Bogenn;04.01;42;1;Sageri;3
Grand Theft Auto: Vice City Official Strategy Guide for PC;609;Tim Bogenn;04.01;42;1;Danit;5
An ABC of Vice: An Insatiable Women's Guide, Alphabetized;612;Nicole Hollander;04.06;10;2;Sageri;5
Corporate Vices: What's Gone Wrong with Business?;607;Charles Cohen;0,129861111;3;0;Cahyono;4
The Grand Inquisitor: with related chapters from The Brothers Karamazov;7119;Fyodor Dostoyevsky;04.35;3678;161;Teddy;3
The Karamazov Brothers;7118;Fyodor Dostoyevsky;04.31;180347;7828;Elsa;3
All Clear at Midnight: A Children's Christmas Program;9470;Cynthia E. Cowen;0;0;0;Cahyono;3
Haunted Houses;9469;Pamela Rushby;0;0;0;Choddy;1
Children of the Midnight Sun: Young Native Voices of Alaska;9472;Tricia  Brown;04.15;13;2;Rifki;1
The Secret Adventures of Sherlock Holmes;3591;Paul E. Heusinger;0;0;0;Abdul Aziz;5
"Self, Nation, Text in Salman Rushdie's ""Midnight's Children""";9468;Neil Ten Kortenaar;4;5;1;Abdul Aziz;4
A Guided Tour of 5 Works by Plato: Euthyphro/Apology/Crito/Phaedo/Cave;9464;Christopher Biffle;04.22;9;2;Umar Jamil;5
The Midnight Children (Triple Play: Haunted Houses 3);9467;Pamela Rushby;03.05;2;1;Randi;5
Republic: The Theatre of the Mind;9465;Plato;0,188194444;125289;2331;Randi;2
The Midnight Mystery (The Boxcar Children, #95);9479;Gertrude Chandler Warner;0,188888889;286;8;Dirga;4
Salman Rushdie's Midnight's Children: A Reader's Guide;9466;Norbert Schürer;0,179166667;23;2;Witsqadianto;5
Things a Woman Should Know About Beauty;7031;Karen Homer;0,16875;16;2;Witsqadianto;5
I Wish I Had Known That!: World's Greatest Money & Time Saving Baby Secrets Revealed!;70;Nicole Rae Painter;03.05;2;0;Danit;4
Morality for Beautiful Girls (No. 1 Ladies' Detective Agency, #3);7035;Alexander McCall Smith;0,192361111;32747;1544;Danit;1
The No. 1 Ladies' Detective Agency Set: The No. 1 Ladies' Detective Agency/Tears of the Giraffe/Morality for Beautiful Girls/The Kalahari Typing School For Men/The Full Cupboard of Life;7032;Alexander McCall Smith;04.25;735;86;Danit;4
The Kalahari Typing School for Men (No. 1 Ladies' Detective Agency, #4);7036;Alexander McCall Smith;0,19375;30675;1301;Danit;1
The Known World;69;Edward P. Jones;0,181944444;29737;2866;Riyan;1
In the Company of Cheerful Ladies (No. 1 Ladies' Detective Agency, #6);7033;Alexander McCall Smith;04.07;22518;1008;Elsa;2
Odyssey;1388;Homer;0,175694444;718023;8252;Riyan;1
In the Company of Cheerful Ladies (No. 1 Ladies' Detective Agency, #6);7037;Alexander McCall Smith;04.07;22518;1008;Riyan;3
In the Company of Cheerful Ladies (No. 1 Ladies' Detective Agency, #6);7034;Alexander McCall Smith;04.07;22518;1008;Riyan;4
Developmental Psychology;1200;Florence Laura Goodenough;0;0;0;Sageri;5
Developmental Psychology;1201;Florence Laura Goodenough;0;0;0;Sageri;1
Semi-Homemade: Cooking 2;1199;Sandra Lee;03.56;112;7;Danit;2
